epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6463,1.73576,3.99424,1.41722,0.4849,0.83333,0.64016,0.44999,1.08892,1.76219,0.94761,6.666e-05,6.666e-05,6.666e-05
2,30.1409,1.30083,1.46762,1.14525,0.7381,0.94444,0.83949,0.59277,1.23509,1.66885,1.15105,0.000142047,0.000142047,0.000142047
3,36.7036,1.24773,1.11381,1.15677,0.62316,0.94444,0.64491,0.48312,1.06565,4.84355,1.05711,0.000214867,0.000214867,0.000214867
4,42.6891,1.27282,1.03292,1.12374,0.57109,0.83333,0.57034,0.3998,1.24885,18.2114,1.16267,0.000285121,0.000285121,0.000285121
5,48.9786,1.17508,0.97123,1.08873,0.69696,0.70635,0.72115,0.45992,1.34656,2.15811,1.27332,0.000352809,0.000352809,0.000352809
6,55.0082,1.13295,0.86997,1.0736,0.45382,0.81746,0.50007,0.33239,1.62357,22.345,1.41116,0.00041793,0.00041793,0.00041793
7,61.2897,1.16554,0.90954,1.12045,0.15147,0.63492,0.12369,0.05767,1.96839,218.559,1.85767,0.000480485,0.000480485,0.000480485
8,67.2895,1.11098,0.82322,1.08283,0.16532,0.30952,0.13352,0.08342,2.54391,83.7461,2.35677,0.000540474,0.000540474,0.000540474
9,73.5104,1.12578,0.82547,1.0959,0.85699,0.36508,0.40082,0.24125,1.97111,2.55231,1.59332,0.000597896,0.000597896,0.000597896
10,79.5264,1.10797,0.84841,1.07548,0.838,0.7619,0.83504,0.531,1.41202,1.93701,1.28235,0.000652751,0.000652751,0.000652751
11,85.7127,1.10241,0.83378,1.072,0.52564,0.80448,0.73982,0.41337,1.44792,2.37128,1.33973,0.000705041,0.000705041,0.000705041
12,91.8391,1.13276,0.82324,1.06918,0.76072,0.70635,0.68129,0.4382,1.63249,1.60637,1.50899,0.000754763,0.000754763,0.000754763
13,98.0037,1.1653,0.77775,1.0961,0.76016,0.67152,0.67652,0.42322,1.62731,1.49757,1.40558,0.00080192,0.00080192,0.00080192
14,104.111,1.07307,0.73987,1.05683,0.94717,0.59524,0.65827,0.46142,1.36342,1.46358,1.35759,0.00084651,0.00084651,0.00084651
15,110.275,1.08252,0.73867,1.05006,0.74453,0.70635,0.72767,0.36055,1.63073,2.063,1.42334,0.000854359,0.000854359,0.000854359
16,116.405,1.10221,0.74269,1.04929,0.66877,0.77778,0.73071,0.41299,1.8072,1.40977,1.60756,0.000836027,0.000836027,0.000836027
